,Name,2_March,18_May
3155,Ramasigns Industries,2.52,2.37
3156,Ramchandra Leasing,1.1,1.05
3157,Ramco Cements,840.1,781.15
3158,Ramco Industries,225.95,218.05
3159,Ramco Systems,322.05,363.05
3160,Ramgopal Polytex,0.0,0.0
3161,Raminfo,143.1,151.3
3162,Ramkrishna Forgings,783.6,739.5
3163,Ramky Infrastructure,600.6,497.55
3164,Ramsons Projects,26.0,23.4
3165,Rana Sugars,23.8,21.75
3166,Rander Corporation,11.83,11.85
3167,Rane (Madras),760.45,837.8
3168,Rane Brake Linings,765.9,941.45
3169,Rane Engine Valve,369.45,373.1
3170,Rane Holdings,1118.05,1285.65
3171,RAP Media,19.11,21.63
3172,Rapicut Carbides,122.05,109.8
3173,Rapid Investments,105.0,109.96
3174,Ras Resorts,42.12,54.85
3175,Rasandik Engg Inds,91.49,95.45
3176,Rashi Peripheral,356.45,328.1
3177,Rashtriya Chemical,144.35,147.2
3178,Rasi Electrodes,25.06,29.15
3179,RateGain,821.5,736.35
3180,Rathi Bars,42.81,42.98
3181,Rathi Steel,61.27,64.5
3182,Ratnabhumi Developer,133.0,132.5
3183,Ratnamani Metals,3145.25,3301.6
3184,Ratnaveer Precision,136.4,128.95
3185,RattanIndia Entr,82.75,75.25
3186,RattanIndia Power,9.95,13.85
3187,Raunaq lnternational,43.81,41.44
3188,Ravalgaon Sugar,0.0,0.0
3189,Ravalgaon Sugar,0.0,981.0
3190,Ravalgaon Sugar,1255.7,0.0
3191,Ravalgaon Sugar,1255.7,981.0
3192,Ravi Kumar Distill,23.6,24.15
3193,Ravileela Granites,36.43,38.48
3194,Ravinder Heights,46.45,49.5
3195,Ravindra Energy,93.59,67.59
3196,Raw Edge Inds Soln,36.99,38.93
3197,Raymed Labs,2.11,2.39
3198,Raymond,1837.3,2235.7
3199,RBL Bank,270.8,252.2
3200,RBZ Jewellers,165.2,136.1
3201,RCC Cements,12.56,12.56
3202,RCI Industries,6.09,4.9
